,0
0,0.0001043966258293949
1,6.49879002594389e-05
2,2.0411136574693955e-05
3,9.19196754693985e-05
4,7.972112507559359e-05
5,7.70230035413988e-05
6,0.00011016739154001698
7,2.0108194803469814e-05
8,2.2105969037511386e-05
9,3.941580871469341e-05
10,2.9338969397940673e-05
11,4.709689164883457e-05
12,1.706483817542903e-05
13,6.551051046699286e-05
14,0.00014657537394668907
15,5.066996527602896e-05
16,0.00010285015741828829
17,3.8796584703959525e-05
18,0.00010503259545657784
19,0.00014871099847368896
20,9.9295808468014e-05
21,0.00011455824278527871
22,4.0418275602860376e-05
23,6.908396608196199e-05
24,7.613452180521563e-05
25,9.299842349719256e-05
26,7.702161383349448e-05
27,7.821857434464619e-05
28,2.069187758024782e-05
29,7.702319271629676e-05
30,4.501356670516543e-05
31,3.130250843241811e-05
32,3.872082379530184e-05
33,1.2262958989595063e-05
34,7.993572216946632e-05
35,9.928156214300543e-05
36,9.994640277000144e-05
37,4.5983622840140015e-05
38,2.7580737878452055e-05
39,0.00013176992069929838
40,0.000108691121567972
41,3.8593327190028504e-05
42,0.00012026217154925689
43,4.522120070760138e-05
44,8.394221367780119e-05
45,3.9693066355539486e-05
46,8.457221701974049e-05
47,0.00010300034045940265
48,4.110085865249857e-05
49,9.617512114346027e-05
50,5.0814978749258444e-05
51,7.714348612353206e-05
52,3.8717000279575586e-05
53,9.341937402496114e-05
54,9.829112241277471e-05
55,5.6355791457463056e-05
56,2.6208186682197265e-05
57,4.134849950787611e-05
58,6.337970262393355e-05
59,0.00012942902685608715
60,3.9731719880364835e-05
61,9.318617230746895e-05
62,7.869004184613004e-05
63,4.528680437942967e-05
64,0.00012181406054878607
65,0.00010608511365717277
66,2.5110930437222123e-05
67,7.711119542364031e-05
68,3.9731694414513186e-05
69,5.464643982122652e-05
70,8.571108628530055e-05
71,5.268090171739459e-05
72,0.00010063109948532656
73,5.6358945585088804e-05
74,4.5419918023981154e-05
75,0.00010967176058329642
76,9.800336556509137e-05
77,6.427691550925374e-05
78,9.546719229547307e-05
79,0.00010068409756058827
80,9.963519551092759e-05
81,4.883309520664625e-05
82,0.00010000759357353672
83,0.00010058314364869148
84,1.2529444575193338e-05
85,0.00015519066073466092
86,0.00010059330816147849
87,0.00011918349628103897
88,9.929077350534499e-05
89,7.300898869289085e-05
90,5.226443681749515e-05
91,9.929708176059648e-05
92,2.598543869680725e-05
93,5.0862960051745176e-05
94,6.033028330421075e-05
95,3.973194179707207e-05
96,7.821202598279342e-05
97,1.4484514395007864e-05
98,3.87781547033228e-05
99,3.190091592841782e-05
100,0.00010079242929350585
101,3.866010229103267e-05
102,9.673382737673819e-05
103,0.00010064188973046839
104,5.5646007240284234e-05
105,9.23120605875738e-05
106,7.852471026126295e-05
107,1.716477891022805e-05
108,0.00010373381519457325
109,9.930137457558885e-05
110,3.848112828563899e-05
111,9.901732846628875e-05
112,0.00011901809193659574
113,7.701956201344728e-05
114,6.314853089861572e-05
115,3.686597847263329e-05
116,3.870327054755762e-05
117,3.895902045769617e-05
118,0.00010030051635112613
119,5.364467506296933e-05
120,4.494695531320758e-05
121,9.600725024938583e-05
122,8.270271064247936e-05
123,4.0035738493315876e-05
124,4.706362960860133e-05
125,4.5539403799921274e-05
126,7.584870763821527e-05
127,9.548902744427323e-05
128,2.811710146488622e-05
129,5.2129609684925526e-05
130,0.00010274795204168186
131,3.904108234564774e-05
132,4.1567967855371535e-05
133,2.0164306988590397e-05
134,4.609832467394881e-05
135,4.367516885395162e-05
136,5.5615135352127254e-05
137,8.7357395386789e-05
138,8.771703141974285e-05
139,5.154643440619111e-05
140,8.818378410069272e-05
141,9.921013406710699e-05
142,3.646806362667121e-05
143,9.930158557835966e-05
144,3.863207530230284e-05
145,7.702315633650869e-05
146,3.594778900151141e-05
147,7.256975368363783e-05
148,8.835385960992426e-05
149,0.00010018983448389918
