{'BETA': 0.1, 'sparsity_probability': 0.05, 'shuffle': True, 'model_save_path': './Propensity_Model/SAE_PS_model_iter_id_1_epoch_{0}_lr_{1}.pth', 'epochs': 50, 'batch_size': 32, 'weight_decay': 0.0003, 'lr': 0.0001}Iter: 1,
 MSE_Sparse: 1.929655384711055, MSE_NN: 1.8903487747409535
Iter: 22, MSE_Sparse: 2.0138966655094546, MSE_NN: 2.0359855226518193
Iter: 23, MSE_Sparse: 2.2009512354808707, MSE_NN: 2.2068761940343222
Iter: 24, MSE_Sparse: 1.9124174214785956, MSE_NN: 2.20202241888689
Iter: 25, MSE_Sparse: 1.9577180132845895, MSE_NN: 1.9863846484208239
Iter: 26, MSE_Sparse: 1.9989338811891941, MSE_NN: 1.9674020357739233
Iter: 27, MSE_Sparse: 2.0325498086815474, MSE_NN: 1.776658231628152
Iter: 28, MSE_Sparse: 1.8469517118518677, MSE_NN: 2.053305924625519
Iter: 29, MSE_Sparse: 1.8928942839448908, MSE_NN: 1.9196241618232621
Iter: 30, MSE_Sparse: 1.9424547444496079, MSE_NN: 1.8150151870019362
Iter: 31, MSE_Sparse: 1.90947343206644, MSE_NN: 2.091453958281962
Iter: 32, MSE_Sparse: 1.8858455207025095, MSE_NN: 2.059112902260284
Iter: 33, MSE_Sparse: 1.8155221748973815, MSE_NN: 1.9781894666123756
Iter: 34, MSE_Sparse: 1.9018158623923302, MSE_NN: 1.9288637915118148
Iter: 35, MSE_Sparse: 2.1527507308945784, MSE_NN: 2.0006304223697167
Iter: 36, MSE_Sparse: 2.031699213637549, MSE_NN: 2.3175321586814848
Iter: 37, MSE_Sparse: 2.0302406527149044, MSE_NN: 1.8819614249478043
Iter: 38, MSE_Sparse: 2.0786381048976237, MSE_NN: 2.0496956560532285
Iter: 39, MSE_Sparse: 1.978576559075684, MSE_NN: 1.9242214618478541
Iter: 40, MSE_Sparse: 1.820239016607761, MSE_NN: 2.1805873431286042
Iter: 41, MSE_Sparse: 1.9916200202272087, MSE_NN: 1.8950593254528856
Iter: 42, MSE_Sparse: 1.9536377011180037, MSE_NN: 2.0162482855785475
Iter: 43, MSE_Sparse: 2.071421759536486, MSE_NN: 2.119868373910613
Iter: 44, MSE_Sparse: 1.9831196654352286, MSE_NN: 1.937364839786009
Iter: 45, MSE_Sparse: 1.8411646526499768, MSE_NN: 2.146655660182344
Iter: 46, MSE_Sparse: 2.371357253676157, MSE_NN: 2.1829377899761213
Iter: 47, MSE_Sparse: 1.9226647061609758, MSE_NN: 1.9535137615079459
Iter: 48, MSE_Sparse: 1.9461128135955406, MSE_NN: 2.1318873449190674
Iter: 49, MSE_Sparse: 1.9698409444882456, MSE_NN: 2.020220336303681
Iter: 50, MSE_Sparse: 1.8464047053225352, MSE_NN: 1.937545587239462
Iter: 51, MSE_Sparse: 2.0551541156377264, MSE_NN: 2.1128783257278783
Iter: 52, MSE_Sparse: 1.8324985805581513, MSE_NN: 1.9337299743564589
Iter: 53, MSE_Sparse: 2.213727695243414, MSE_NN: 1.990861267991
Iter: 54, MSE_Sparse: 1.854755476562211, MSE_NN: 2.1395044145078095
Iter: 55, MSE_Sparse: 2.0096074490692253, MSE_NN: 1.8834093018907374
Iter: 56, MSE_Sparse: 1.7948392229259782, MSE_NN: 1.8827205435475707
Iter: 57, MSE_Sparse: 2.0018358676239725, MSE_NN: 2.214928562643473
Iter: 58, MSE_Sparse: 1.9331474600555745, MSE_NN: 2.1206291915871045
Iter: 59, MSE_Sparse: 1.8514180827864748, MSE_NN: 1.9870631373300376
Iter: 60, MSE_Sparse: 1.99714431038582, MSE_NN: 2.146773114239001
Iter: 61, MSE_Sparse: 1.9254308274454892, MSE_NN: 1.973821286979559
Iter: 62, MSE_Sparse: 2.137111434550047, MSE_NN: 2.0709879886201095
Iter: 63, MSE_Sparse: 2.0183167159989246, MSE_NN: 2.146957632002092
Iter: 64, MSE_Sparse: 1.9704630740360873, MSE_NN: 1.9550283288592933
Iter: 65, MSE_Sparse: 1.9579464823990156, MSE_NN: 1.996188219830351
Iter: 66, MSE_Sparse: 2.0051884627747327, MSE_NN: 1.8562179157099736
Iter: 67, MSE_Sparse: 1.9967656149941524, MSE_NN: 2.0765404426793252
Iter: 68, MSE_Sparse: 2.093219670998531, MSE_NN: 2.017825243203814
Iter: 69, MSE_Sparse: 1.8126330049543689, MSE_NN: 1.9612479577850055
Iter: 70, MSE_Sparse: 2.092834878520468, MSE_NN: 1.827165712801181
Iter: 71, MSE_Sparse: 1.9413680306777823, MSE_NN: 2.456401537918863
Iter: 72, MSE_Sparse: 1.7684980981317755, MSE_NN: 1.9644273052786703
Iter: 73, MSE_Sparse: 2.0550193523514295, MSE_NN: 2.0142406875068364
Iter: 74, MSE_Sparse: 2.091764674992232, MSE_NN: 1.9148957793890735
Iter: 75, MSE_Sparse: 2.0606486610230363, MSE_NN: 2.1489507947494286
Iter: 76, MSE_Sparse: 2.0143791320324, MSE_NN: 2.200170714480326
Iter: 77, MSE_Sparse: 2.069709900593431, MSE_NN: 1.9813643801306258
Iter: 78, MSE_Sparse: 2.107694880517896, MSE_NN: 1.9389349087293866
Iter: 79, MSE_Sparse: 2.0083189350628854, MSE_NN: 1.9906184586949238
Iter: 80, MSE_Sparse: 1.9647534097917776, MSE_NN: 1.9585802901904792
Iter: 81, MSE_Sparse: 2.0372534895335366, MSE_NN: 1.9527904712546686
Iter: 82, MSE_Sparse: 2.034443163415004, MSE_NN: 1.8916243098026446
